instance_type;N;instance_number;annealing_time;sdev;tvd;fidelity;dwave_dist;sim_dist;dwave_gr_state_prob;sim_gr_state_prob
rich;k_4;30;25;0.1;0.10191407898614152;0.9862471920876047;[0.0, 0.0, 2.9999999242136255e-5, 0.31036999821662903, 0.02645999938249588, 0.12887999415397644, 0.00015999999595806003, 0.0832500010728836, 0.03305000066757202, 5.999999848427251e-5, 0.1704999953508377, 0.028179999440908432, 0.21905000507831573, 9.999999747378752e-6, 0.0, 0.0];[7.509150189279174e-8, 1.2390695853353905e-5, 3.6352916349913793e-6, 0.26371072770684095, 0.03758525053365009, 0.13628640074963344, 0.00013187347965123864, 0.06226964645123701, 0.06226964645123603, 0.00013187347965123934, 0.13628640074963363, 0.037585250533650645, 0.2637107277068388, 3.6352916349918105e-6, 1.2390695853354797e-5, 7.509150189280356e-8];[0.21905000507831573, 0.31036999821662903];[0.2637107277068388, 0.26371072770684095]
rich;k_4;33;25;0.1;0.10475516299465357;0.9795810974834516;[0.0, 0.28303998708724976, 0.0007699999841861427, 5.999999848427251e-5, 0.0006699999794363976, 0.0, 0.300570011138916, 0.0, 0.0, 0.1261499971151352, 0.0, 0.0003000000142492354, 7.000000186963007e-5, 0.0004600000102072954, 0.28790000081062317, 9.999999747378752e-6];[3.4480525470706015e-6, 0.30195525239336957, 0.00012225321211727647, 2.3713361679878146e-6, 3.978842219896699e-6, 1.848386875273963e-5, 0.1978941952288358, 1.7065992837379997e-8, 1.7065992837381096e-8, 0.1978941952288343, 1.8483868752740596e-5, 3.978842219896866e-6, 2.3713361679876164e-6, 0.00012225321211727623, 0.30195525239336996, 3.4480525470709013e-6];[0.28790000081062317, 0.28303998708724976];[0.30195525239336996, 0.30195525239336957]
rich;k_4;9;25;0.1;0.03971664474770665;0.993455564579182;[0.0002099999983329326, 0.0, 0.0002300000051036477, 9.999999747378752e-5, 0.015469999983906746, 0.20995000004768372, 0.0, 0.296099990606308, 0.3032799959182739, 0.0, 0.16850000619888306, 0.005760000087320805, 0.00011000000085914508, 0.00013000000035390258, 0.0, 0.00015999999595806003];[4.197931871380473e-6, 5.775062757841806e-8, 3.7108805100972133e-6, 4.380028041075183e-6, 0.019942098986272017, 0.18952765071038538, 1.7345206701081264e-5, 0.290500558505592, 0.29050055850558826, 1.734520670108236e-5, 0.18952765071038602, 0.019942098986272198, 4.380028041075291e-6, 3.710880510097657e-6, 5.7750627578425964e-8, 4.197931871380319e-6];[0.296099990606308, 0.3032799959182739];[0.290500558505592, 0.29050055850558826]
rich;k_4;6;25;0.1;0.13588419263979729;0.9762485710038409;[0.0005600000149570405, 0.005350000225007534, 0.39024999737739563, 0.0, 0.0, 0.001449999981559813, 0.09995999932289124, 0.11524000018835068, 0.12317000329494476, 0.02817000076174736, 0.0005499999970197678, 0.0, 0.0, 0.23183999955654144, 0.0033400000538676977, 0.00011999999696854502];[0.0001335432841113176, 0.007049772048927075, 0.3018420171376284, 2.223292337917633e-5, 2.2405907494837583e-8, 0.0010814381444184456, 0.0532788051052246, 0.13659216895040519, 0.13659216895040352, 0.053278805105224813, 0.0010814381444184543, 2.240590749484995e-8, 2.223292337917758e-5, 0.3018420171376306, 0.007049772048927121, 0.00013354328411131972];[0.23183999955654144, 0.39024999737739563];[0.3018420171376306, 0.3018420171376284]
rich;k_4;35;25;0.1;0.07204723062971799;0.9926605573590167;[1.9999999494757503e-5, 0.0743900015950203, 9.999999747378752e-6, 0.0, 0.0, 0.16684000194072723, 0.10430999845266342, 0.14722999930381775, 0.09694000333547592, 0.11700999736785889, 0.22970999777317047, 0.0, 0.0, 0.0, 0.06350000202655792, 3.9999998989515007e-5];[1.6281320861900507e-5, 0.07775711931125667, 3.508592272362122e-6, 5.546694275076319e-8, 1.3132471794700977e-5, 0.1784410510551725, 0.1172832085221286, 0.12648564325957268, 0.12648564325957165, 0.11728320852212835, 0.17844105105517297, 1.3132471794702565e-5, 5.546694275075683e-8, 3.508592272362412e-6, 0.07775711931125653, 1.6281320861901338e-5];[0.16684000194072723, 0.22970999777317047];[0.1784410510551725, 0.17844105105517297]
rich;k_4;38;25;0.1;0.14045334591788763;0.9754958943648868;[0.14125999808311462, 9.999999747378752e-6, 0.0, 9.999999747378752e-6, 0.0002899999963119626, 0.2515200078487396, 0.0, 0.2264299988746643, 0.09571000188589096, 0.0, 0.1510400027036667, 0.0003000000142492354, 0.0, 0.0, 9.999999747378752e-6, 0.13342000544071198];[0.16189261799280824, 2.071356055868568e-5, 2.314685110620087e-6, 5.195032790779535e-6, 1.3754338752305931e-5, 0.2065371419144148, 1.4547077458418127e-6, 0.1315268077678178, 0.13152680776781694, 1.4547077458419049e-6, 0.20653714191441452, 1.3754338752305577e-5, 5.195032790779787e-6, 2.3146851106203483e-6, 2.0713560558686654e-5, 0.1618926179928089];[0.2515200078487396, 0.1510400027036667];[0.2065371419144148, 0.20653714191441452]
rich;k_4;1;25;0.1;0.12959287355714985;0.9728802274428021;[0.0, 0.04287000000476837, 0.36063000559806824, 0.018230000510811806, 0.19991999864578247, 0.007819999940693378, 7.000000186963007e-5, 0.0, 0.0, 2.9999999242136255e-5, 0.0011099999537691474, 0.1456100046634674, 0.0019600000232458115, 0.21494999527931213, 0.006800000090152025, 0.0];[2.6821750018583308e-5, 0.019284834776445835, 0.29618399332461853, 0.003980724713282558, 0.17830983823449809, 0.002209826351068608, 3.955694292949515e-6, 5.155776084944077e-9, 5.1557760849460314e-9, 3.9556942929500924e-6, 0.0022098263510686145, 0.1783098382345017, 0.0039807247132825204, 0.29618399332462153, 0.019284834776446037, 2.682175001858535e-5];[0.21494999527931213, 0.36063000559806824];[0.29618399332462153, 0.29618399332461853]
rich;k_4;39;25;0.1;0.06250015435805849;0.9948602426555674;[5.999999848427251e-5, 0.0, 0.3362399935722351, 0.0, 0.1329299956560135, 0.005750000011175871, 0.07608000189065933, 0.0003000000142492354, 0.0002899999963119626, 0.07688000053167343, 0.00279999990016222, 0.11875999718904495, 0.0, 0.24988000094890594, 0.0, 2.9999999242136255e-5];[3.0620662543981636e-6, 3.785917343132167e-8, 0.27440504670142396, 8.056328731470136e-6, 0.1384293228758293, 0.00516867353506994, 0.08158181624660905, 0.0004039843869098472, 0.0004039843869098497, 0.08158181624660892, 0.005168673535069971, 0.13842932287583093, 8.05632873147154e-6, 0.2744050467014252, 3.785917343132439e-8, 3.062066254398474e-6];[0.24988000094890594, 0.3362399935722351];[0.2744050467014252, 0.27440504670142396]
rich;k_4;8;25;0.1;0.12283965412937595;0.9826505742811709;[0.0, 9.999999747378752e-6, 0.00014000000373926014, 0.2025900036096573, 0.0009899999713525176, 0.039080001413822174, 0.32565000653266907, 0.0, 0.0, 0.21654999256134033, 0.09211000055074692, 0.00215000007301569, 0.120619997382164, 9.999999747378752e-5, 9.999999747378752e-6, 0.0];[8.906217624529674e-9, 8.06540849766337e-6, 3.541826534966707e-6, 0.15437233134101885, 0.0009416732823750298, 0.061196956492866925, 0.2834345066923349, 4.291605015650765e-5, 4.2916050156508274e-5, 0.2834345066923327, 0.06119695649286732, 0.000941673282375039, 0.1543723313410176, 3.54182653496697e-6, 8.065408497664443e-6, 8.906217624525692e-9];[0.32565000653266907, 0.21654999256134033];[0.2834345066923349, 0.2834345066923327]
rich;k_4;7;25;0.1;0.025437625785413795;0.9979689340067863;[9.999999747378752e-6, 0.29919999837875366, 0.16155000030994415, 0.021309999749064445, 0.0, 0.004530000034719706, 0.0001500000071246177, 9.999999747378752e-6, 0.0, 7.999999797903001e-5, 0.001879999996162951, 0.0, 0.017720000818371773, 0.16416999697685242, 0.32938000559806824, 9.999999747378752e-6];[1.0940515823694814e-6, 0.3059736767773961, 0.1649400924528487, 0.026339882645061298, 1.6383969689539004e-6, 0.0027288248893513477, 1.2898361874376311e-5, 1.8924249184725868e-6, 1.8924249184728528e-6, 1.2898361874377017e-5, 0.0027288248893513624, 1.6383969689541655e-6, 0.02633988264506134, 0.1649400924528507, 0.30597367677739934, 1.0940515823696112e-6];[0.32938000559806824, 0.29919999837875366];[0.30597367677739934, 0.3059736767773961]
rich;k_4;2;25;0.1;0.0774515638153296;0.9865233893684534;[0.0, 9.999999747378752e-6, 0.0003600000054575503, 9.999999747378752e-6, 0.0, 0.13977999985218048, 7.999999797903001e-5, 0.28507000207901, 0.28845998644828796, 0.0001500000071246177, 0.28575998544692993, 9.999999747378752e-6, 2.9999999242136255e-5, 0.0002699999895412475, 9.999999747378752e-6, 0.0];[1.7055608669719154e-5, 4.8335288181223045e-6, 1.7822799936393865e-5, 4.330841469483712e-6, 1.1199714729002377e-7, 0.20917137437655586, 6.487001705361298e-6, 0.2907779838456983, 0.29077798384569303, 6.487001705361263e-6, 0.20917137437655434, 1.1199714729000718e-7, 4.3308414694842755e-6, 1.782279993639268e-5, 4.833528818122666e-6, 1.705560866972068e-5];[0.28507000207901, 0.28845998644828796];[0.2907779838456983, 0.29077798384569303]
