instance_type;N;instance_number;annealing_time;sdev;tvd;fidelity;dwave_dist;sim_dist;dwave_gr_state_prob;sim_gr_state_prob
rich;k_4;34;20;0.03;0.26608664547142885;0.8591209978100327;[1.9999999494757503e-5, 0.1573600023984909, 0.10389000177383423, 0.045889999717473984, 0.0, 0.00011999999696854502, 0.0, 0.15797999501228333, 0.34929001331329346, 0.0, 0.00014000000373926014, 0.0, 0.040699999779462814, 0.04692000150680542, 0.09769000113010406, 0.0];[1.1503476390216902e-5, 0.08860222906687444, 0.02222360575133103, 0.0024867279646454406, 6.18184946766056e-9, 3.362238437992849e-6, 3.765920847239805e-5, 0.38663490611199924, 0.38663490611199614, 3.7659208472399764e-5, 3.362238437995437e-6, 6.181849467655662e-9, 0.002486727964645497, 0.02222360575133125, 0.08860222906687493, 1.1503476390217e-5];[0.15797999501228333, 0.34929001331329346];[0.38663490611199924, 0.38663490611199614]
rich;k_4;12;20;0.03;0.14374380363753486;0.9688938344440706;[0.09894999861717224, 0.0, 0.15327000617980957, 0.16288000345230103, 0.0, 0.0, 0.001979999942705035, 0.0002300000051036477, 0.0003000000142492354, 0.0020600000862032175, 0.0, 9.999999747378752e-6, 0.243599995970726, 0.19172999262809753, 0.0, 0.1449899971485138];[0.10623163728184482, 2.2033541650230284e-5, 0.12228783529719668, 0.271447746057731, 2.5275853986032106e-6, 4.0294707729089155e-8, 3.718054596361835e-6, 4.461886874594386e-6, 4.461886874593278e-6, 3.718054596361693e-6, 4.029470772901926e-8, 2.527585398603489e-6, 0.2714477460577295, 0.12228783529719738, 2.203354165023309e-5, 0.1062316372818456];[0.243599995970726, 0.16288000345230103];[0.2714477460577295, 0.271447746057731]
rich;k_4;9;20;0.03;0.21502996083010845;0.928416121222818;[0.00018000000272877514, 0.0, 0.00014000000373926014, 4.999999873689376e-5, 0.01056000031530857, 0.18783000111579895, 0.0, 0.2580699920654297, 0.31918999552726746, 0.0, 0.21039000153541565, 0.013079999946057796, 5.999999848427251e-5, 0.00016999999934341758, 0.0, 0.0002800000074785203];[4.528955903448839e-6, 1.1018319384002796e-8, 2.2681085857271457e-6, 4.7383840135436145e-6, 8.591081022035367e-6, 0.10383489688801943, 1.7919327273725704e-5, 0.39612704623686334, 0.3961270462368601, 1.7919327273726795e-5, 0.10383489688801881, 8.5910810220335e-6, 4.7383840135442735e-6, 2.268108585728297e-6, 1.1018319383993707e-8, 4.5289559034503776e-6];[0.2580699920654297, 0.31918999552726746];[0.39612704623686334, 0.3961270462368601]
rich;k_4;11;20;0.03;0.2123115759797338;0.927527112457954;[0.00033000000985339284, 1.9999999494757503e-5, 0.011090000160038471, 0.0006000000284984708, 0.2893800139427185, 4.999999873689376e-5, 0.14493000507354736, 3.9999998989515007e-5, 2.9999999242136255e-5, 0.225600004196167, 2.9999999242136255e-5, 0.3183099925518036, 0.0006799999973736703, 0.0086899995803833, 0.0, 0.00022000000171829015];[1.5349464225626797e-6, 2.768071858669038e-7, 8.05781012077407e-6, 1.3866375142138114e-6, 0.4100006489490814, 4.423194398182183e-7, 0.08998489423873143, 2.7582915023212646e-6, 2.758291502320881e-6, 0.08998489423873182, 4.423194398182145e-7, 0.41000064894908556, 1.3866375142143026e-6, 8.057810120772609e-6, 2.768071858669811e-7, 1.5349464225622399e-6];[0.2893800139427185, 0.3183099925518036];[0.4100006489490814, 0.41000064894908556]
rich;k_4;22;20;0.03;0.21120800191391695;0.9221408275767093;[0.0004900000058114529, 0.31520000100135803, 0.22540000081062317, 0.0, 9.999999747378752e-6, 0.013489999808371067, 0.0003800000122282654, 0.0, 0.0, 0.0002500000118743628, 0.012409999966621399, 9.999999747378752e-6, 0.0, 0.11952000111341476, 0.31240999698638916, 0.0004299999854993075];[3.5332597366696365e-6, 0.4194039180004034, 0.08051689473448798, 1.596821373576145e-6, 8.083384183238311e-6, 5.758402477490901e-5, 4.904571408083688e-6, 3.485203634732816e-6, 3.485203634732787e-6, 4.9045714080832854e-6, 5.758402477490853e-5, 8.083384183239324e-6, 1.5968213735759585e-6, 0.08051689473448856, 0.41940391800040483, 3.5332597366704505e-6];[0.31240999698638916, 0.31520000100135803];[0.41940391800040483, 0.4194039180004034]
rich;k_4;36;20;0.03;0.19567761687003818;0.944855142385176;[0.0, 0.1555899977684021, 0.0, 9.999999747378752e-6, 9.999999747378752e-6, 0.002050000010058284, 0.44433000683784485, 0.0008399999933317304, 0.0002699999895412475, 0.18331000208854675, 0.00039999998989515007, 0.0, 0.0, 0.0, 0.2131900042295456, 0.0];[8.620622035157779e-9, 0.12101439048384542, 4.722478077328554e-6, 1.983684091728534e-5, 6.859189303479872e-6, 9.497739895666178e-6, 0.3789416184364672, 3.066210873345869e-6, 3.066210873347324e-6, 0.37894161843646723, 9.49773989566433e-6, 6.859189303479886e-6, 1.983684091728695e-5, 4.7224780773298855e-6, 0.12101439048384569, 8.620622035142223e-9];[0.44433000683784485, 0.18331000208854675];[0.3789416184364672, 0.37894161843646723]
rich;k_4;14;20;0.03;0.2632362188281639;0.871631415550368;[0.03661999851465225, 0.012609999626874924, 1.9999999494757503e-5, 0.0, 0.0, 0.11495000123977661, 0.31119000911712646, 3.9999998989515007e-5, 9.999999747378752e-5, 0.2223300039768219, 0.25328001379966736, 1.9999999494757503e-5, 0.0, 9.999999747378752e-6, 0.015479999594390392, 0.03334999829530716];[0.0018166277999892594, 6.602171325342626e-5, 3.5364542776333037e-5, 2.5216337036252523e-9, 1.736338677106019e-6, 0.09972222971035576, 0.3983568746869739, 1.1426863402568984e-6, 1.1426863402575006e-6, 0.3983568746869756, 0.09972222971035632, 1.7363386771060854e-6, 2.5216337036396704e-9, 3.536454277633677e-5, 6.602171325343281e-5, 0.0018166277999893158];[0.31119000911712646, 0.2223300039768219];[0.3983568746869739, 0.3983568746869756]
rich;k_4;38;20;0.03;0.1502476299394636;0.9637605806336624;[0.15296000242233276, 1.9999999494757503e-5, 0.0, 0.0, 0.00019999999494757503, 0.2253500074148178, 0.0, 0.24605999886989594, 0.09326999634504318, 0.0, 0.15692999958992004, 9.000000136438757e-5, 9.999999747378752e-6, 9.999999747378752e-6, 0.0, 0.1251000016927719];[0.12742921672884058, 1.2395360624470846e-5, 1.1023395662558435e-6, 6.7926157988943795e-6, 1.6099672482725287e-5, 0.25091362719965743, 1.042898003928819e-7, 0.12162066179323176, 0.12162066179323033, 1.042898003928395e-7, 0.2509136271996569, 1.6099672482720412e-5, 6.792615798894131e-6, 1.102339566255844e-6, 1.2395360624472478e-5, 0.12742921672884233];[0.2253500074148178, 0.15692999958992004];[0.25091362719965743, 0.2509136271996569]
rich;k_4;31;20;0.03;0.2302195322043412;0.9141927908264078;[0.0, 0.00015999999595806003, 0.001769999973475933, 0.0, 0.0, 0.15049999952316284, 0.2973000109195709, 0.0057299998588860035, 0.02101000025868416, 0.30414000153541565, 0.21727000176906586, 0.0, 0.0, 0.0017999999690800905, 0.00031999999191612005, 0.0];[2.7283003597864255e-6, 6.570936912774223e-6, 2.6427993016786193e-6, 9.158344144232954e-6, 5.7016776034501406e-6, 0.0841420627686078, 0.4158121805587537, 1.8954614318608436e-5, 1.895461431860998e-5, 0.41581218055875335, 0.08414206276860818, 5.7016776034497696e-6, 9.158344144231912e-6, 2.642799301678555e-6, 6.570936912774705e-6, 2.728300359785824e-6];[0.2973000109195709, 0.30414000153541565];[0.4158121805587537, 0.41581218055875335]
rich;k_4;7;20;0.03;0.20889976061509616;0.918121327216783;[0.0, 0.32820001244544983, 0.15404999256134033, 0.023649999871850014, 0.0, 0.00546000013127923, 3.9999998989515007e-5, 0.0, 9.999999747378752e-6, 9.000000136438757e-5, 0.0021299999207258224, 9.999999747378752e-6, 0.024059999734163284, 0.18161000311374664, 0.2806900143623352, 0.0];[1.9636146740400378e-6, 0.4088899824222969, 0.0906693240844492, 0.00041680564340397785, 2.005397457606472e-6, 2.6653702484446957e-6, 1.3374586357940095e-5, 3.878881112047575e-6, 3.878881112049291e-6, 1.3374586357940854e-5, 2.6653702484443158e-6, 2.005397457606191e-6, 0.0004168056434040011, 0.09066932408444975, 0.4088899824222981, 1.9636146740390806e-6];[0.2806900143623352, 0.32820001244544983];[0.4088899824222981, 0.4088899824222969]
rich;k_4;28;20;0.03;0.18032713643764947;0.9116526190941613;[0.0, 0.04083000123500824, 0.0, 0.00018000000272877514, 1.9999999494757503e-5, 0.15644000470638275, 0.0017000000225380063, 0.2888000011444092, 0.15866999328136444, 0.0017099999822676182, 0.27854999899864197, 3.9999998989515007e-5, 5.999999848427251e-5, 0.0, 0.0729999989271164, 0.0];[1.0830352232460423e-5, 0.004613796726696865, 1.585950116200627e-7, 4.282836721869824e-6, 4.759747941381231e-6, 0.20650873106848697, 4.226943850842634e-6, 0.2888532137290612, 0.28885321372905803, 4.226943850842301e-6, 0.20650873106848666, 4.759747941381379e-6, 4.282836721870249e-6, 1.5859501162001095e-7, 0.004613796726696887, 1.0830352232462483e-5];[0.2888000011444092, 0.15866999328136444];[0.2888532137290612, 0.28885321372905803]
