Instance,TN,TN20,SBM,SA,TN16,D-Wave
1,-1828.547900830471,-1833.6677075868693,-1834.302,-1823.4770824958043,-1832.351293784872,-1834.4373360341049
2,-1806.2526607492089,-1811.668456184056,-1814.1926,-1804.926113285448,-1810.3883649569848,-1813.4717301982944
3,-1814.67142958452,-1815.907762451936,-1821.2062,-1814.9340539919929,-1808.8473707320668,-1821.139250967249
4,-1826.2458647584804,-1826.601628404484,-1832.6228,-1820.6602679329917,-1828.643584602547,-1833.056690184437
5,-1851.6894467982167,-1852.9125778954717,-1856.7322,-1848.016303533123,-1850.1374617891397,-1856.627095998376
6,-1805.5920251675743,-1812.8577867195,-1815.3027,-1804.307739734409,-1807.7500189689208,-1815.0944346922536
7,-1829.146936460606,-1830.4449270962448,-1832.7637,-1820.835609163231,-1827.6060217024112,-1831.084265028776
8,-1811.2320213023097,-1819.050576255644,-1823.2915,-1813.74331279106,-1812.3391234026376,-1821.172515158784
9,-1845.9281993990735,-1848.4874532650945,-1853.3503,-1843.5467391194984,-1842.0719212433903,-1852.0871510296784
10,-1832.34380110509,-1837.5675280793043,-1840.0317,-1829.390799180626,-1836.482512969225,-1839.2723370540336
11,-1830.4420034648947,-1829.6547107588517,-1835.1709,-1831.2388904971624,-1830.563139716812,-1834.1756399999
12,-1812.2377620906584,-1817.6584416530116,-1822.2261,-1812.524448128048,-1813.9557886583248,-1821.36810704612
13,-1848.5150389732012,-1853.79415742435,-1856.3923,-1844.956790343132,-1850.6539866120568,-1856.091011566663
14,-1825.8499481829908,-1825.7587501666237,-1829.3293,-1822.5559986352991,-1822.1103672974248,-1829.148640819178
15,-1820.543398789279,-1823.4032354608903,-1829.636,-1821.4800629472325,-1825.9215948994852,-1830.3485521457608
16,-1818.7626622703544,-1820.587782169024,-1825.231,-1814.8097076281736,-1818.8103759432936,-1823.6797554422835
17,-1836.692155903465,-1841.807552527158,-1841.506,-1838.044411489022,-1841.10513570208,-1841.4504989871225
18,-1813.260891571102,-1815.3097437995696,-1817.566,-1811.7377741934536,-1813.6133841911417,-1817.3994492328284
19,-1807.887606066561,-1812.3428292133103,-1815.5422,-1805.851271992234,-1811.7068196817336,-1814.981141843786
20,-1816.074599688322,-1821.035750633161,-1821.0371,-1810.7534158440687,-1817.582778505741,-1821.046380556408
